iter	Logloss
0	0.6857902007
1	0.6793667166
2	0.6734629098
3	0.6679624212
4	0.6630661527
5	0.6584875495
6	0.6540193112
7	0.650321893
8	0.6462530809
9	0.6428422554
10	0.6396755815
11	0.6371301273
12	0.6342853104
13	0.6317064289
14	0.6300158707
15	0.6277896675
16	0.6253635878
17	0.6234509672
18	0.6216758411
19	0.620205973
20	0.6190544391
21	0.6173802255
22	0.6162465615
23	0.6152198165
24	0.6138995903
25	0.6127578355
26	0.6120136757
27	0.6110302211
28	0.6101010822
29	0.6092663345
30	0.6083420109
31	0.6077354239
32	0.607216478
33	0.6067182045
34	0.6059413763
35	0.6050644091
36	0.604565471
37	0.6036931399
38	0.6027073463
39	0.6022171762
40	0.601715484
41	0.6011791591
42	0.6008101515
43	0.6005557255
44	0.600172927
45	0.5995414228
46	0.5990990233
47	0.5987122823
48	0.5984335041
49	0.5982711985
50	0.59806056
51	0.5980009416
52	0.5974944953
53	0.5971952435
54	0.5966651648
55	0.5963432443
56	0.5960060958
57	0.5959146481
58	0.5956972354
59	0.5954484619
60	0.5952382386
61	0.5949464342
62	0.594743467
63	0.5943854691
64	0.5939443727
65	0.5938159316
66	0.5936297764
67	0.5934973681
68	0.5933689794
69	0.5932782058
70	0.59307718
71	0.5928385629
72	0.5926921284
73	0.5924686889
74	0.5923114884
75	0.5922120371
76	0.5921280654
77	0.5919675751
78	0.5917021116
79	0.5914203924
80	0.5912972516
81	0.5910470343
82	0.5908847738
83	0.5907259123
84	0.5905294148
85	0.5903627329
86	0.590200584
87	0.5899715161
88	0.5898724113
89	0.589567117
90	0.5894809069
91	0.5893718128
92	0.5892479429
93	0.5891566525
94	0.5890256038
95	0.5888551307
96	0.5886471215
97	0.5884944779
98	0.5884083975
99	0.5884059239
100	0.5882905154
101	0.5881977266
102	0.5881084095
103	0.588002818
104	0.5878759175
105	0.5877256015
106	0.5876336271
107	0.5874993765
108	0.5874138296
109	0.5872648546
110	0.5871442785
111	0.5870346954
112	0.5869358161
113	0.5868306929
114	0.5866785601
115	0.5865807616
116	0.5865036667
117	0.5864298826
118	0.5863974663
119	0.5862834676
120	0.5861972319
121	0.5861958687
122	0.5860874836
123	0.5860337093
124	0.5859292996
125	0.5858520745
126	0.5857494549
127	0.5856746959
128	0.5856739718
129	0.5855970126
130	0.5854858845
131	0.5854087277
132	0.5853003917
133	0.5852186639
134	0.585068867
135	0.5849486805
136	0.5848629398
137	0.5848007165
138	0.5846667275
139	0.5845573538
140	0.5845001586
141	0.5844171421
142	0.5842962834
143	0.5842127108
144	0.5840717827
145	0.583980741
146	0.5838865984
147	0.5837364218
148	0.58360915
149	0.58345279
150	0.5833806434
151	0.5833378193
152	0.5832706827
153	0.583172732
154	0.5830576176
155	0.5829902817
156	0.582901921
157	0.5828365069
158	0.5827985209
159	0.5827130148
160	0.5825937572
161	0.5825331535
162	0.5824519499
163	0.5823641263
164	0.5822859728
165	0.5822118506
166	0.5821519257
167	0.5820770759
168	0.5819979201
169	0.5819442891
170	0.5818670808
171	0.58181276
172	0.5817262339
173	0.5816571843
174	0.5815749037
175	0.5815120315
176	0.5815085738
