iter	Passed	Remaining
0	72	72092
1	84	42117
2	96	32160
3	101	25211
4	111	22278
5	123	20523
6	135	19291
7	150	18658
8	161	17818
9	165	16364
10	168	15116
11	170	14054
12	173	13200
13	177	12469
14	180	11837
15	183	11281
16	186	10777
17	189	10332
18	191	9900
19	194	9523
20	197	9206
21	200	8908
22	203	8626
23	206	8384
24	208	8144
25	211	7935
26	215	7748
27	218	7576
28	221	7414
29	224	7263
30	227	7106
31	230	6977
32	233	6850
33	237	6734
34	239	6607
35	242	6486
36	245	6386
37	248	6280
38	250	6176
39	253	6092
40	256	5996
41	259	5910
42	261	5825
43	265	5758
44	268	5691
45	271	5620
46	273	5548
47	276	5490
48	280	5437
49	282	5365
50	285	5307
51	286	5231
52	289	5181
53	293	5138
54	295	5083
55	298	5034
56	301	4981
57	303	4929
58	306	4892
59	310	4858
60	313	4820
61	316	4786
62	319	4751
63	321	4708
64	324	4667
65	327	4639
66	331	4609
67	334	4581
68	337	4552
69	340	4525
70	343	4492
71	346	4466
72	349	4435
73	351	4404
74	355	4382
75	357	4349
76	360	4326
77	364	4304
78	366	4277
79	369	4248
80	372	4227
81	375	4201
82	378	4179
83	380	4154
84	383	4130
85	387	4113
86	389	4087
87	392	4063
88	395	4046
89	397	4022
90	400	4004
91	403	3984
92	406	3968
93	410	3952
94	412	3930
95	415	3910
96	418	3895
97	421	3879
98	424	3862
99	426	3834
100	428	3816
101	431	3795
102	434	3781
103	437	3768
104	440	3750
105	442	3734
106	445	3721
107	448	3708
108	452	3695
109	454	3679
110	457	3663
111	460	3651
112	463	3638
113	466	3627
114	470	3617
115	473	3607
116	476	3595
117	479	3584
118	481	3566
119	484	3550
120	487	3541
121	489	3519
122	492	3508
123	495	3498
124	498	3489
125	501	3477
126	504	3467
127	507	3458
128	509	3437
129	511	3426
130	515	3417
131	518	3409
132	521	3400
133	524	3392
134	527	3379
135	530	3367
136	533	3359
137	536	3350
138	539	3339
139	542	3332
140	545	3320
141	547	3308
142	550	3296
143	553	3290
144	555	3278
145	558	3266
146	561	3259
147	565	3252
148	568	3244
149	570	3234
150	573	3223
151	576	3216
152	579	3208
153	582	3202
154	585	3192
155	588	3185
156	592	3179
157	595	3172
158	598	3165
159	601	3158
160	604	3152
161	607	3142
162	610	3136
163	614	3129
164	617	3123
165	620	3117
166	623	3109
167	626	3102
168	629	3094
169	632	3086
170	635	3078
171	638	3071
172	641	3064
173	644	3058
174	647	3052
175	650	3046
176	652	3034
177	655	3025
178	658	3018
179	661	3012
180	663	3003
181	665	2991
182	667	2978
183	670	2972
184	673	2967
185	676	2961
186	680	2956
187	682	2948
188	685	2942
189	689	2937
190	692	2932
191	695	2925
192	698	2920
193	701	2915
194	704	2907
195	707	2902
196	710	2896
197	713	2891
198	716	2885
199	719	2878
200	722	2871
201	725	2866
202	728	2859
203	731	2854
204	734	2848
205	737	2843
206	741	2839
207	744	2834
208	747	2829
209	750	2825
210	754	2820
211	757	2815
212	760	2810
213	763	2806
214	766	2798
215	769	2793
216	772	2788
217	776	2783
218	779	2779
219	782	2774
220	785	2768
221	788	2764
222	792	2760
223	795	2755
224	798	2751
225	802	2747
226	805	2743
227	808	2738
228	812	2734
229	815	2729
230	818	2725
231	821	2720
232	825	2716
233	828	2711
234	831	2706
235	834	2700
236	836	2694
237	840	2690
238	843	2686
239	847	2682
240	850	2678
241	854	2675
242	857	2670
243	860	2666
244	864	2662
245	867	2658
246	870	2654
247	874	2650
248	877	2647
249	881	2644
250	885	2641
251	888	2638
252	891	2633
253	894	2628
254	898	2624
255	902	2621
256	905	2618
257	909	2615
258	912	2611
259	916	2607
260	919	2602
261	922	2598
262	926	2595
263	929	2591
264	933	2588
265	936	2583
266	939	2579
267	943	2576
268	946	2573
269	950	2569
270	953	2566
271	957	2562
272	961	2559
273	964	2555
274	968	2552
275	971	2548
276	975	2544
277	978	2541
278	982	2537
279	985	2534
280	989	2530
281	992	2527
282	995	2523
283	999	2519
284	1002	2515
285	1006	2512
286	1009	2508
287	1013	2505
288	1016	2501
289	1019	2497
290	1023	2494
291	1027	2490
292	1030	2486
293	1033	2482
294	1037	2478
295	1040	2475
296	1043	2470
297	1047	2467
298	1050	2463
299	1054	2460
300	1057	2455
301	1060	2451
302	1064	2448
303	1067	2444
304	1071	2441
305	1074	2437
306	1078	2434
307	1081	2430
308	1085	2426
309	1088	2423
310	1092	2419
311	1095	2416
312	1098	2411
313	1102	2407
314	1105	2404
315	1109	2400
316	1112	2396
317	1115	2393
318	1119	2390
319	1123	2386
320	1126	2382
321	1129	2379
322	1133	2375
323	1136	2372
324	1140	2368
325	1143	2364
326	1146	2360
327	1150	2356
328	1153	2353
329	1157	2349
330	1160	2345
331	1163	2341
332	1167	2338
333	1170	2334
334	1174	2331
335	1178	2328
336	1182	2325
337	1185	2322
338	1189	2319
339	1192	2315
340	1196	2312
341	1199	2308
342	1203	2305
343	1206	2301
344	1210	2298
345	1214	2294
346	1217	2291
347	1221	2287
348	1224	2284
349	1228	2280
350	1231	2277
351	1235	2274
352	1238	2270
353	1242	2266
354	1245	2263
355	1249	2259
356	1253	2257
357	1256	2254
358	1260	2250
359	1263	2246
360	1267	2242
361	1270	2239
362	1274	2235
363	1277	2232
364	1281	2228
365	1284	2225
366	1292	2228
367	1295	2225
368	1299	2222
369	1303	2218
370	1306	2215
371	1310	2212
372	1313	2208
373	1317	2205
374	1321	2201
375	1324	2198
376	1328	2194
377	1331	2191
378	1335	2188
379	1338	2184
380	1342	2181
381	1346	2177
382	1349	2174
383	1353	2170
384	1356	2167
385	1359	2163
386	1363	2159
387	1366	2156
388	1370	2152
389	1373	2148
390	1377	2145
391	1380	2141
392	1384	2137
393	1387	2134
394	1390	2130
395	1394	2126
396	1397	2123
397	1401	2119
398	1404	2116
399	1408	2112
400	1412	2109
401	1415	2106
402	1419	2103
403	1422	2098
404	1426	2095
405	1429	2091
406	1433	2088
407	1436	2084
408	1440	2081
409	1443	2077
410	1447	2074
411	1450	2070
412	1458	2072
413	1461	2068
414	1465	2065
415	1468	2062
416	1472	2058
417	1476	2055
418	1479	2052
419	1483	2048
420	1487	2045
421	1490	2041
422	1494	2038
423	1497	2034
424	1501	2030
425	1504	2027
426	1508	2024
427	1511	2020
428	1515	2017
429	1519	2013
430	1522	2010
431	1526	2007
432	1530	2003
433	1533	2000
434	1536	1995
435	1540	1992
436	1543	1988
437	1547	1985
438	1551	1982
439	1554	1978
440	1557	1974
441	1561	1970
442	1564	1967
443	1567	1963
444	1570	1959
445	1574	1955
446	1577	1951
447	1580	1947
448	1583	1943
449	1586	1939
450	1589	1935
451	1593	1931
452	1596	1927
453	1599	1923
454	1602	1919
455	1605	1915
456	1608	1911
457	1611	1907
458	1615	1903
459	1618	1899
460	1621	1895
461	1624	1891
462	1627	1887
463	1632	1886
464	1636	1882
465	1639	1878
466	1642	1874
467	1645	1870
468	1649	1867
469	1652	1863
470	1655	1859
471	1658	1855
472	1662	1851
473	1665	1848
474	1668	1844
475	1672	1840
476	1675	1836
477	1678	1833
478	1681	1829
479	1684	1825
480	1688	1821
481	1691	1817
482	1694	1813
483	1697	1809
484	1700	1806
485	1703	1802
486	1707	1798
487	1710	1794
488	1713	1790
489	1716	1786
490	1719	1782
491	1722	1778
492	1726	1775
493	1729	1771
494	1732	1767
495	1735	1763
496	1738	1759
497	1741	1755
498	1744	1751
499	1748	1748
500	1751	1744
501	1754	1740
502	1757	1736
503	1760	1732
504	1764	1729
505	1767	1725
506	1770	1721
507	1774	1718
508	1777	1714
509	1780	1711
510	1784	1707
511	1787	1703
512	1790	1699
513	1793	1695
514	1796	1692
515	1799	1688
516	1803	1684
517	1806	1680
518	1809	1677
519	1813	1673
520	1816	1669
521	1819	1666
522	1822	1662
523	1825	1658
524	1828	1654
525	1831	1650
526	1835	1647
527	1838	1643
528	1841	1639
529	1844	1635
530	1847	1632
531	1850	1628
532	1854	1624
533	1857	1620
534	1860	1617
535	1863	1613
536	1867	1609
537	1870	1606
538	1873	1601
539	1876	1598
540	1879	1594
541	1882	1590
542	1885	1587
543	1889	1583
544	1892	1579
545	1895	1576
546	1899	1572
547	1902	1569
548	1905	1565
549	1908	1561
550	1912	1558
551	1915	1554
552	1918	1550
553	1921	1547
554	1924	1543
555	1928	1539
556	1931	1535
557	1934	1532
558	1937	1528
559	1940	1524
560	1943	1521
561	1947	1517
562	1950	1513
563	1953	1510
564	1956	1506
565	1959	1502
566	1962	1498
567	1965	1495
568	1969	1491
569	1972	1487
570	1975	1484
571	1978	1480
572	1981	1476
573	1985	1473
574	1988	1469
575	1991	1465
576	1994	1462
577	1997	1458
578	2000	1454
579	2004	1451
580	2007	1447
581	2010	1444
582	2013	1440
583	2016	1436
584	2020	1433
585	2023	1429
586	2026	1425
587	2029	1422
588	2032	1418
589	2036	1414
590	2039	1411
591	2042	1407
592	2046	1404
593	2049	1400
594	2052	1397
595	2055	1393
596	2059	1389
597	2062	1386
598	2065	1382
599	2068	1379
600	2071	1375
601	2074	1371
602	2078	1368
603	2081	1364
604	2084	1360
605	2087	1357
606	2091	1353
607	2094	1350
608	2097	1346
609	2100	1343
610	2103	1339
611	2107	1335
612	2110	1332
613	2113	1328
614	2116	1325
615	2120	1321
616	2123	1317
617	2126	1314
618	2129	1310
619	2132	1307
620	2135	1303
621	2139	1299
622	2142	1296
623	2145	1292
624	2148	1289
625	2151	1285
626	2154	1281
627	2158	1278
628	2161	1274
629	2164	1271
630	2167	1267
631	2170	1264
632	2174	1260
633	2177	1256
634	2180	1253
635	2183	1249
636	2186	1246
637	2190	1242
638	2193	1239
639	2196	1235
640	2199	1231
641	2202	1228
642	2206	1224
643	2209	1221
644	2212	1217
645	2215	1214
646	2218	1210
647	2222	1207
648	2225	1203
649	2228	1200
650	2232	1196
651	2235	1193
652	2238	1189
653	2241	1185
654	2244	1182
655	2247	1178
656	2251	1175
657	2254	1171
658	2257	1168
659	2260	1164
660	2264	1161
661	2267	1157
662	2270	1153
663	2273	1150
664	2276	1146
665	2279	1143
666	2283	1139
667	2286	1136
668	2289	1132
669	2292	1129
670	2295	1125
671	2299	1122
672	2302	1118
673	2305	1115
674	2308	1111
675	2311	1108
676	2315	1104
677	2318	1100
678	2321	1097
679	2324	1093
680	2327	1090
681	2330	1086
682	2333	1083
683	2337	1079
684	2340	1076
685	2343	1072
686	2346	1069
687	2349	1065
688	2353	1062
689	2356	1058
690	2359	1055
691	2362	1051
692	2366	1048
693	2369	1044
694	2372	1041
695	2376	1037
696	2379	1034
697	2382	1030
698	2385	1027
699	2388	1023
700	2391	1020
701	2394	1016
702	2397	1013
703	2401	1009
704	2404	1006
705	2407	1002
706	2410	998
707	2413	995
708	2416	991
709	2419	988
710	2422	984
711	2426	981
712	2429	977
713	2432	974
714	2435	970
715	2439	967
716	2442	964
717	2445	960
718	2448	956
719	2451	953
720	2455	950
721	2458	946
722	2461	943
723	2464	939
724	2467	936
725	2471	932
726	2474	929
727	2477	925
728	2480	922
729	2484	918
730	2487	915
731	2490	911
732	2493	908
733	2496	904
734	2499	901
735	2503	897
736	2506	894
737	2509	890
738	2512	887
739	2515	883
740	2519	880
